format,mse,mae,max_abs_error,timestamp
fp32,0.000000000000000,0.000000000000000,0.000000000000000,1777538736
fp16,11380433.483022596687078,357.409973774658908,63095.734448019298725,1777538736
bf16,126.712084569738224,1.184864608589298,198.723362727250787,1777538736
gf16,289.961144558383580,1.561412100050586,447.101887531185639,1777538736
gf24,1.127704635851212,0.077678867400469,37.619701578689273,1777538736
gf20,4.771995840307497,0.221296097240416,48.974393160475302,1777538736
gf12,22677388.165372431278229,487.888068474964939,89096.059371520852437,1777538736
gf8,22701756.203588608652353,495.552746411812848,89120.857745397093822,1777538736
gf6a,22701756.217115063220263,495.586004273106369,89120.857745397093822,1777538736
gf4a,22704354.505935233086348,496.990410864110004,89123.475779385844362,1777538736
gf32,0.007127713766061,0.008465722674661,1.922961614298401,1777538736
gf64,0.000000000000009,0.000000009499253,0.000001810265530,1777538736
