format,constant,abs_error,rel_error,timestamp
fp32,pi,0.00000000000000000000,0.00000000000000000000,1777538736
fp32,e,0.00000000000000000000,0.00000000000000000000,1777538736
fp32,phi,0.00000000000000000000,0.00000000000000000000,1777538736
fp32,sqrt2,0.00000000000000000000,0.00000000000000000000,1777538736
fp16,pi,3.14159265358979311600,1.00000000000000000000,1777538736
fp16,e,2.71828182845904509080,1.00000000000000000000,1777538736
fp16,phi,1.61803398874989490253,1.00000000000000000000,1777538736
fp16,sqrt2,1.41421356237309514547,1.00000000000000000000,1777538736
bf16,pi,0.00096765358979311600,0.00030801370403238322,1777538736
bf16,e,0.01515682845904509080,0.00557588558344492176,1777538736
bf16,phi,0.00084648874989490253,0.00052315881852945875,1777538736
bf16,sqrt2,0.00015106237309514547,0.00010681722839770963,1777538736
gf16,pi,0.00693085861040332318,0.00220616081543342736,1777538736
gf16,e,0.00307772153674878979,0.00113223047902045754,1777538736
gf16,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf16,sqrt2,0.00904193614528203682,0.00639361436338467971,1777538736
gf24,pi,0.00043172722150064402,0.00013742304273831418,1777538736
gf24,e,0.00044014598316932663,0.00016192065832218693,1777538736
gf24,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf24,sqrt2,0.00021307544166293546,0.00015066708970418025,1777538736
gf20,pi,0.00095879581318403240,0.00030519418616810438,1777538736
gf20,e,0.00025213510367949610,0.00009275532104131670,1777538736
gf20,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf20,sqrt2,0.00115049462256266999,0.00081352254933272146,1777538736
gf12,pi,0.01746099765694708594,0.00555800817683826248,1777538736
gf12,e,0.01007789595967611973,0.00370745073382958753,1777538736
gf12,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf12,sqrt2,0.01909193362656491644,0.01350003573330752632,1777538736
gf8,pi,0.14159265358979311600,0.04507034144862794717,1777538736
gf8,e,0.10024783970915018827,0.03687911925084649822,1777538736
gf8,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf8,sqrt2,0.03224755112298982596,0.02280246207572596967,1777538736
gf6a,pi,0.47644133516010178653,0.15165598716806527602,1777538736
gf6a,e,0.10024783970915018827,0.03687911925084649822,1777538736
gf6a,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf6a,sqrt2,0.20382042637679975705,0.14412280563536855604,1777538736
gf4a,pi,1.52355866483989821347,0.48496378519951610642,1777538736
gf4a,e,1.10024783970915018827,0.40475856042228886000,1777538736
gf4a,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf4a,sqrt2,0.20382042637679975705,0.14412280563536855604,1777538736
gf32,pi,0.00002109291037521999,0.00000671408190082117,1777538736
gf32,e,0.00004015238776400309,0.00001477123797232052,1777538736
gf32,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf32,sqrt2,0.00005164317001438157,0.00003651723571913897,1777538736
gf64,pi,0.00000000000490985030,0.00000000000156285389,1777538736
gf64,e,0.00000000010985656829,0.00000000004041397295,1777538736
gf64,phi,0.00000000000000000000,0.00000000000000000000,1777538736
gf64,sqrt2,0.00000000001453148712,0.00000000001027531309,1777538736
