format,l1_norm,l2_norm,linf_norm,sparsity,l1_ratio,l2_ratio,linf_ratio,timestamp
fp32,498.924932399960539,6.254120117863102,0.241215468580891,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1777538736
fp16,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1777538736
bf16,497.524162545800209,6.236532272379428,0.241210937500000,0.000000000000000,0.997192423622884,0.997187798578822,0.999981215628840,1777538736
gf16,498.922173455532345,6.254327735323985,0.242279217530073,0.000000000000000,0.999994470221372,1.000033196909712,1.004409953289647,1777538736
gf24,498.924368045667961,6.254115286250088,0.241260085651157,0.000000000000000,0.999998868859309,0.999999227451197,1.000184967699327,1777538736
gf20,498.925052782758883,6.254104981390586,0.241052119891423,0.000000000000000,1.000000241284391,0.999997579759865,0.999322810056794,1777538736
gf12,498.825316328073995,6.252570442380131,0.244198596255573,0.000000000000000,0.999800338557130,0.999752215267093,1.012367066226025,1777538736
gf8,501.493705371392366,6.291918262773693,0.236067977499790,0.000000000000000,1.005148616163709,1.006043719052123,0.978660194922883,1777538736
gf6a,510.918228786889756,6.451431624002013,0.236067977499790,0.000000000000000,1.024038278322228,1.031549043257955,0.978660194922883,1777538736
gf4a,503.011840846320410,6.360432919272585,0.236067977499790,0.000000000000000,1.008191429573785,1.016998842268128,0.978660194922883,1777538736
gf32,498.925133585349897,6.254124022152728,0.241217870599239,0.000000000000000,1.000000403237794,1.000000624274807,1.000009957978077,1777538736
gf64,498.924932399848274,6.254120117861294,0.241215468581528,0.000000000000000,0.999999999999775,0.999999999999711,1.000000000002638,1777538736
